,업종명,인허가일자,업소명,소재지(도로명),addr,영업장면적(건물내_외부),업태명,담당부서,데이터기준일자,latitude,longitude
0,일반음식점,1967-10-10,케이에프씨 중앙대점,서울특별시 동작구 흑석로 94 (흑석동),서울특별시 동작구 흑석동 223-1,163.96,기타,보건행정과,2024-08-19,37.50726179999999,126.9599876
1,일반음식점,1972-04-14,안동장,서울특별시 동작구 흑석로 105-1 (흑석동),서울특별시 동작구 흑석동 184-18,321.03,중국식,보건행정과,2024-08-19,37.5082513,126.9609352
2,일반음식점,1975-05-15,바다회센타,서울특별시 동작구 동작대로27길 20-7 (사당동),서울특별시 동작구 사당동 130-16,71.41,일식,보건행정과,2024-08-19,37.487893,126.9807215
3,일반음식점,1975-06-17,신부양각,서울특별시 동작구 양녕로 191 (상도동),서울특별시 동작구 상도동 210-202,91.84,중국식,보건행정과,2024-08-19,37.4983812,126.9434816
4,일반음식점,1976-02-16,순대나라,서울특별시 동작구 서달로12가길 5 (흑석동),서울특별시 동작구 흑석동 97-22,25.5,한식,보건행정과,2024-08-19,37.5066082,126.9626927
5,일반음식점,1977-09-08,우슬재,서울특별시 동작구 현충로 94 (흑석동),서울특별시 동작구 흑석동 6-10,43.98,호프/통닭,보건행정과,2024-08-19,37.5079816,126.9641741
6,일반음식점,1977-05-13,정은식당,서울특별시 동작구 노량진로6길 6-8 (노량진동),서울특별시 동작구 노량진동 29-5,31.06,한식,보건행정과,2024-08-19,37.5129829,126.9355607
7,일반음식점,1979-11-30,신대방빨강떡볶이,"서울특별시 동작구 여의대방로24길 60, 지상1층 (신대방동)",서울특별시 동작구 신대방동 361-39,40.16,한식,보건행정과,2024-08-19,37.4981253,126.923565
8,일반음식점,1979-07-03,비어 퀸,서울특별시 동작구 서달로14길 8 (흑석동),서울특별시 동작구 흑석동 52-26,34.63,한식,보건행정과,2024-08-19,37.5078616,126.9635141
9,일반음식점,1979-04-12,계림원누릉지통닭구이,서울특별시 동작구 노량진로8길 8 (노량진동),서울특별시 동작구 노량진동 27-13,58.93,경양식,보건행정과,2024-08-19,37.5130081,126.936181
10,일반음식점,1980-09-10,소문난만천곱창,서울특별시 동작구 서달로12길 13 (흑석동),서울특별시 동작구 흑석동 97-6,27.7,한식,보건행정과,2024-08-19,37.5070322,126.9626128
11,일반음식점,1980-10-23,이수찹쌀순대,"서울특별시 동작구 동작대로 123 (사당동, 1층)",서울특별시 동작구 사당동 134-3,27.12,한식,보건행정과,2024-08-19,37.4877119,126.9818472
12,일반음식점,1993-11-01,다채샤브 장승배기역점,서울특별시 동작구 상도로 166 (상도동),서울특별시 동작구 상도동 183-17,102.43,한식,보건행정과,2024-08-19,37.5037877,126.9377495
13,일반음식점,1980-04-24,만리장성,서울특별시 동작구 상도로15길 110 (상도동),서울특별시 동작구 상도동 359-32,105.12,중국식,보건행정과,2024-08-19,37.5044691,126.936808
14,일반음식점,1980-05-07,다래원,서울특별시 동작구 국사봉길 90 (상도동),서울특별시 동작구 상도동 299-1,11.71,중국식,보건행정과,2024-08-19,37.49591480000001,126.9312253
15,일반음식점,1980-07-16,거구장,서울특별시 동작구 흑석로 101-7 (흑석동),서울특별시 동작구 흑석동 184-19,94.82,한식,보건행정과,2024-08-19,37.5080488,126.9607546
16,일반음식점,1980-11-05,계림(鷄林)닭한마리,서울특별시 동작구 사당로30길 103 (사당동),서울특별시 동작구 사당동 1030-9,83.0,한식,보건행정과,2024-08-19,37.4801461,126.9808983
17,일반음식점,1981-09-07,진미순대,서울특별시 동작구 서달로12가길 5 (흑석동),서울특별시 동작구 흑석동 97-22,20.5,정종/대포집/소주방,보건행정과,2024-08-19,37.5066082,126.9626927
18,일반음식점,1981-08-28,등나무집,서울특별시 동작구 대림로 52 (신대방동),서울특별시 동작구 신대방동 687-14,146.88,한식,보건행정과,2024-08-19,37.4882165,126.9078859
19,일반음식점,1981-10-06,교뽕,서울특별시 동작구 장승배기로27길 13 (노량진동),서울특별시 동작구 노량진동 243-15,24.7,한식,보건행정과,2024-08-19,37.5117779,126.9392707
20,일반음식점,1982-05-26,해달비,서울특별시 동작구 서달로14나길 5 (흑석동),서울특별시 동작구 흑석동 50-40,26.65,분식,보건행정과,2024-08-19,37.5076858,126.9639137
21,일반음식점,1982-10-12,교촌치킨,"서울특별시 동작구 시흥대로 646, 지상1층 (신대방동)",서울특별시 동작구 신대방동 607-28,72.6,호프/통닭,보건행정과,2024-08-19,37.4895455,126.9074154
22,일반음식점,1982-03-03,한일정,,서울특별시 동작구 노량진동 44-21 중앙,149.49,한식,보건행정과,2024-08-19,37.5133645,126.9397466
23,일반음식점,1982-06-10,청진동해장국,서울특별시 동작구 대림로 56 (신대방동),서울특별시 동작구 신대방동 685-12,59.6,한식,보건행정과,2024-08-19,37.4884807,126.9073843
24,일반음식점,1982-04-20,미주,,서울특별시 동작구 사당동 548-6,31.3,한식,보건행정과,2024-08-19,37.485622,126.9723172
25,일반음식점,1983-06-29,돈낭군 찌개부인,서울특별시 동작구 성대로1길 5 (상도동),서울특별시 동작구 상도동 346-15,30.1,한식,보건행정과,2024-08-19,37.5006249,126.9328194
26,일반음식점,1983-06-27,대박,서울특별시 동작구 장승배기로10길 9 (상도동),서울특별시 동작구 상도동 369-6,19.04,호프/통닭,보건행정과,2024-08-19,37.5045878,126.9397673
27,일반음식점,1983-03-10,짝태&노가리,"서울특별시 동작구 장승배기로27길 9 (노량진동,지하1층-지상1층)",서울특별시 동작구 노량진동 243-16 지하,101.16,한식,보건행정과,2024-08-19,37.5117766,126.9394345
28,일반음식점,1983-04-13,전주한방오리,"서울특별시 동작구 사당로 252 (사당동,321-114)",서울특별시 동작구 사당동 318-77,83.0,한식,보건행정과,2024-08-19,37.4831982,126.975725
29,일반음식점,1983-04-18,썬스타,서울특별시 동작구 장승배기로10길 18 (상도동),서울특별시 동작구 상도동 179-7,26.52,호프/통닭,보건행정과,2024-08-19,37.5045909,126.9400742
30,일반음식점,1983-07-08,이모네 실내포차,서울특별시 동작구 사당로16길 7 (사당동),서울특별시 동작구 사당동 318-13,36.58,정종/대포집/소주방,보건행정과,2024-08-19,37.4829215,126.9739871
31,일반음식점,1983-09-30,흑석동 명당김밥,서울특별시 동작구 현충로 94 (흑석동),서울특별시 동작구 흑석동 6-10,20.25,분식,보건행정과,2024-08-19,37.5079816,126.9641741
32,일반음식점,1993-10-15,"왕돈까스, 왕냉면","서울특별시 동작구 상도로61가길 2, 지층 (상도동)",서울특별시 동작구 상도동 504,146.0,한식,보건행정과,2024-08-19,37.49463890000001,126.9575649
33,일반음식점,1983-11-28,김밥을주문해,서울특별시 동작구 동작대로7길 4 (사당동),서울특별시 동작구 사당동 1030-14,24.0,분식,보건행정과,2024-08-19,37.4800948,126.9813934
34,일반음식점,1983-08-22,타누키돈부리 이수역점,서울특별시 동작구 동작대로27가길 14 (사당동),서울특별시 동작구 사당동 139-88,19.8,경양식,보건행정과,2024-08-19,37.4869416,126.9810413
35,일반음식점,1983-12-26,초신성막창가,"서울특별시 동작구 여의대방로24길 137 (대방동, 1층)",서울특별시 동작구 대방동 407-38,17.7,한식,보건행정과,2024-08-19,37.4992393,126.9277401
36,일반음식점,1984-08-27,토방소곱창,서울특별시 동작구 동작대로7길 11 (사당동),서울특별시 동작구 사당동 1031-1,19.9,한식,보건행정과,2024-08-19,37.4798235,126.980981
37,일반음식점,1984-10-31,강릉식당,서울특별시 동작구 여의대방로 126 (신대방동),서울특별시 동작구 신대방동 377-1,51.32,복어취급,보건행정과,2024-08-19,37.498015,126.920664
38,일반음식점,1984-09-26,사과나무,서울특별시 동작구 흑석로9길 7 (흑석동),서울특별시 동작구 흑석동 190-35,28.9,한식,보건행정과,2024-08-19,37.5075675,126.9597242
39,일반음식점,1984-11-30,왕돈가스왕냉면,"서울특별시 동작구 상도로 170 (상도동, 1층)",서울특별시 동작구 상도동 367-4,31.3,한식,보건행정과,2024-08-19,37.5040798,126.9380901
40,일반음식점,1984-11-08,도리도리하찌,서울특별시 동작구 흑석로13가길 43 (흑석동),서울특별시 동작구 흑석동 190-49,27.12,분식,보건행정과,2024-08-19,37.50743689999999,126.9596404
41,일반음식점,1984-03-09,다래식당,서울특별시 동작구 만양로2길 2 (상도동),서울특별시 동작구 상도동 17-61,97.33,분식,보건행정과,2024-08-19,37.5062702,126.9477436
42,일반음식점,1984-07-25,해피손칼국수,서울특별시 동작구 장승배기로 65 (상도동),서울특별시 동작구 상도동 181-22,18.74,분식,보건행정과,2024-08-19,37.5035658,126.9393804
43,일반음식점,1984-05-03,아는포차,서울특별시 동작구 동작대로7길 10 (사당동),서울특별시 동작구 사당동 1030-11,19.6,정종/대포집/소주방,보건행정과,2024-08-19,37.4800119,126.9810042
44,일반음식점,1984-03-27,원조강릉교동반점,서울특별시 동작구 만양로 94-2 (노량진동),서울특별시 동작구 노량진동 119-155,43.09,중국식,보건행정과,2024-08-19,37.5118489,126.9444331
45,일반음식점,1984-06-23,마포집,서울특별시 동작구 동작대로27길 6 (사당동),서울특별시 동작구 사당동 133-4,101.6,한식,보건행정과,2024-08-19,37.487865,126.9817182
46,일반음식점,1985-11-16,진솔,서울특별시 동작구 노량진로 148-5 (노량진동),서울특별시 동작구 노량진동 72-16,26.1,한식,보건행정과,2024-08-19,37.5132291,126.9423941
47,일반음식점,1985-11-06,순천식당,서울특별시 동작구 장승배기로10길 9 (상도동),서울특별시 동작구 상도동 369-6,29.81,한식,보건행정과,2024-08-19,37.5045878,126.9397673
48,일반음식점,1985-04-09,신짱스시,"서울특별시 동작구 상도로30길 8, 2층 (상도동)",서울특별시 동작구 상도동 170-26,75.0,일식,보건행정과,2024-08-19,37.5047764,126.941268
49,일반음식점,1985-03-14,MEAL&DRINK(밀앤드링크),서울특별시 동작구 노량진로8길 20 (노량진동),서울특별시 동작구 노량진동 261-4,61.98,호프/통닭,보건행정과,2024-08-19,37.5125916,126.9364432
